account,post_id,viral,cluster
spaghetticodejungle,2461636833940054277,0,0
spaghetticodejungle,2451495479566045026,0,0
spaghetticodejungle,2438862323067310898,0,0
spaghetticodejungle,2426984939850434816,0,0
spaghetticodejungle,2412776771255789348,0,0
spaghetticodejungle,2393597175885032489,0,0
spaghetticodejungle,2382726862708329333,0,0
spaghetticodejungle,2382127834727505370,0,0
spaghetticodejungle,2380701534766811342,0,0
spaghetticodejungle,2377841686526167552,0,0
soheilnasiri.ir,2375559194062707447,0,0
soheilnasiri.ir,2274309219941831702,0,0
soheilnasiri.ir,2274299514884296254,0,0
soheilnasiri.ir,2187394059805700651,0,1
softwaredevlife,2304680165551558842,0,0
softwaredevlife,2304025877169652261,0,0
softwaredevlife,2303187828110100928,0,0
softwaredevlife,2302553651568607193,0,0
softwaredevlife,2301718358251098400,0,0
softwaredevlife,2301126757383893503,0,0
softwaredevlife,2300316394917743671,0,0
softwaredevlife,2299707561603428987,0,0
softwaredevlife,2299017844555441647,0,0
softwaredevlife,2298237767446278766,0,0
softwaredevlife,2297437512138036422,0,0
softwaredevlife,2296727824918315196,0,0
smrtdvlpr,2468412213115994792,0,0
smrtdvlpr,2449507152457382597,0,0
smrtdvlpr,2443819685075086225,0,0
smrtdvlpr,2429833551072508239,0,0
smrtdvlpr,2310524738331865704,0,0
smrtdvlpr,2309754492033512158,0,0
smrtdvlpr,2309031648601470812,0,0
smrtdvlpr,2308318807804179418,0,0
smrtdvlpr,2307547712528390792,0,0
smrtdvlpr,2306830201759613066,0,0
smrtdvlpr,2306173272821545652,0,1
smrtdvlpr,2305451320687401767,0,0
smithswriters,2597497383384185107,0,0
smithswriters,2592518784608468512,0,0
smithswriters,2583146576677342728,0,0
smithswriters,2581172655778276022,0,0
smithswriters,2580190069224407283,0,0
smithswriters,2577948017837265004,0,0
smithswriters,2577277320383345844,0,0
smithswriters,2570475874144851964,0,0
smithswriters,2569244767772725489,0,0
smithswriters,2567451514781874775,0,0
smithswriters,2563896100228328650,0,0
smithswriters,2563141321709570066,0,0
smazeestudio,2766231603258062441,0,0
smazeestudio,2765484294307876809,0,0
smazeestudio,2764777003003918226,0,0
smazeestudio,2671992457706724374,0,0
smazeestudio,2624152807982688146,0,0
smazeestudio,2622013371232716370,0,0
smazeestudio,2445872983011973969,0,0
smazeestudio,2443694063936111674,0,0
smazeestudio,2440059874355706844,0,0
smazeestudio,2439254577944854202,0,0
smazeestudio,2425556991555668802,0,0
smazeestudio,2418301474840034619,0,0
suraj_parik_,2608805977137616116,1,0
suraj_parik_,2551621415138723514,1,0
suraj_parik_,2528935919988074440,1,0
suraj_parik_,2452977817417963837,1,0
suraj_parik_,2445788523217675231,1,0
suraj_parik_,2444269567248001747,1,0
suraj_parik_,2427629966379080172,1,0
suraj_parik_,2407979611269694550,1,0
suraj_parik_,2406746316259379378,1,0
suraj_parik_,2345042864995548850,1,0
suraj_parik_,2271247033243191676,1,0
suraj_parik_,2261625344268115465,1,0
stickersdevs,2577094978907259010,0,0
stickersdevs,2571267789532897324,0,0
stickersdevs,2564688646582245544,0,0
stickersdevs,2561296995776117586,0,0
stickersdevs,2547680856286356359,0,0
stickersdevs,2518730118512373936,0,0
stickersdevs,2515764551580937809,0,0
stickersdevs,2513411054919264006,0,0
stickersdevs,2453831717362900135,0,0
stickersdevs,2451637539409255360,0,0
stickersdevs,2430732961826646701,0,0
stickersdevs,2424204765870404437,0,0
stepcomputeracademy,2741070666645411023,0,1
stepcomputeracademy,2720082722857237628,0,0
stepcomputeracademy,2714872310208262404,0,1
stepcomputeracademy,2713540791494960795,0,0
stepcomputeracademy,2712728363348455375,0,1
stepcomputeracademy,2694607216547278709,0,1
stepcomputeracademy,2685282627381132375,0,0
stepcomputeracademy,2684530469311246694,0,1
stepcomputeracademy,2683776115113376146,0,1
stepcomputeracademy,2677961403276567894,0,1
stepcomputeracademy,2674415288316935532,0,1
stepcomputeracademy,2672842850030418284,0,1
stem4kids,2607277018086976225,0,1
stem4kids,2606903617012117593,0,0
stem4kids,2599189152346973988,0,0
stem4kids,2598255291256471257,0,1
stem4kids,2597691646895310251,0,0
stem4kids,2597510425782188386,0,1
stem4kids,2593282314292392077,0,0
stem4kids,2591407464446200084,0,1
stem4kids,2590578486458251122,0,1
stem4kids,2590191345472705004,0,0
stem4kids,2589692680634017510,0,1
stem4kids,2580897268139006859,0,0
theapkguide,2342349007484662753,0,0
theapkguide,2342332663582379547,0,0
theapkguide,2338801991276457748,0,0
theapkguide,2332664085491139769,0,0
theapkguide,2328526664365081451,0,0
theapkguide,2328465412980941104,0,0
theapkguide,2327842770590612867,0,0
theapkguide,2327650003020967294,0,0
theapkguide,2326942254612287992,0,0
theapkguide,2326307212080795157,0,0
theapkguide,2326112330137556430,0,0
theapkguide,2324917922474129145,0,0
thali_intech,2600961615176936154,0,0
thali_intech,2596158390284547702,0,1
thali_intech,2593200564779885651,0,0
thali_intech,2591731896124499445,0,0
thali_intech,2588718873176853275,0,0
thali_intech,2587193229154454518,0,0
thali_intech,2586493903461845447,0,0
thali_intech,2583573209619059775,0,0
thali_intech,2581385097014771456,0,1
thali_intech,2580898217047612970,0,0
thali_intech,2579213578427864571,0,0
thali_intech,2578482441472700459,0,1
thabisomokoena_,2597913405516867575,0,0
thabisomokoena_,2595771313235685620,0,0
thabisomokoena_,2594495283174821893,0,0
thabisomokoena_,2582791459443818249,0,0
thabisomokoena_,2572722068731635713,0,0
thabisomokoena_,2569106742864599242,0,0
thabisomokoena_,2564831522435871070,0,0
thabisomokoena_,2563456948703994736,0,0
thabisomokoena_,2562249713123089082,0,0
thabisomokoena_,2561123810807979549,0,0
thabisomokoena_,2560630143936690716,0,0
thabisomokoena_,2560357149482030320,0,0
tesseractcoding,2375364471512069405,1,0
tesseractcoding,2359734286926378933,0,0
tesseractcoding,2356554089934702488,1,0
tesseractcoding,2356544098901397035,0,1
tesseractcoding,2354014383396812264,0,0
tesseractcoding,2352984839647247432,0,1
tesseractcoding,2352474153020276160,0,0
tesseractcoding,2351571560165093226,1,0
tesseractcoding,2351454058206576547,0,0
tesseractcoding,2350716337167124051,1,0
tesseractcoding,2349271595288022966,0,0
tesseractcoding,2348289823377175842,1,0
terraideas.ru,2583570067810512131,0,0
terraideas.ru,2547268279850221986,0,0
terraideas.ru,2518239010511904080,0,0
terraideas.ru,2508220803478658194,0,0
terraideas.ru,2497243518713762626,0,0
terraideas.ru,2488055447826274784,0,1
terraideas.ru,2485028615527015651,0,1
terraideas.ru,2482185380931354831,0,0
terraideas.ru,2453174791000047744,0,0
terraideas.ru,2421388367710802115,0,1
